ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_HOUSING_TYPE,MONTHS_EMPLOYED,timespan,paid_off,pastdue_1-29,pastdue_30-59,pastdue_60-89,pastdue_90-119,pastdue_120-149,pastdue_over_150,no_loan,Score,label,bin_labels
5008804,1,1,427500.0,Rented apartment,151,16,13,1,1,0,0,0,0,1,783.5416666666666,4,1
5008805,1,1,427500.0,Rented apartment,151,15,12,1,1,0,0,0,0,1,774.375,4,1
5008806,1,1,112500.0,House / apartment,37,30,7,7,0,0,0,0,0,16,733.125,3,0
5008808,0,1,270000.0,House / apartment,101,5,0,2,0,0,0,0,0,3,612.5833333333333,2,0
5008809,0,1,270000.0,House / apartment,101,5,0,0,0,0,0,0,0,5,612.5833333333333,2,0
5008810,0,1,270000.0,House / apartment,101,27,15,6,0,0,0,0,0,6,635.5,2,0
5008811,0,1,270000.0,House / apartment,101,39,27,6,0,0,0,0,0,6,635.5,2,0
5008812,0,1,283500.0,House / apartment,0,17,0,14,0,0,0,0,0,3,696.4583333333334,3,0
5008813,0,1,283500.0,House / apartment,0,17,0,14,0,0,0,0,0,3,696.4583333333334,3,0
5008814,0,1,283500.0,House / apartment,0,17,0,14,0,0,0,0,0,3,696.4583333333334,3,0
5008815,1,1,270000.0,House / apartment,25,6,0,6,0,0,0,0,0,0,723.1944444444445,3,0
5008819,1,1,135000.0,House / apartment,39,8,0,0,0,0,0,0,0,8,653.8333333333333,2,0
5008820,1,1,135000.0,House / apartment,39,9,0,1,0,0,0,0,0,8,663.0,2,0
5008821,1,1,135000.0,House / apartment,39,9,0,6,0,0,0,0,0,3,691.875,3,0
5008822,1,1,135000.0,House / apartment,39,9,0,1,0,0,0,0,0,8,663.0,2,0
5008823,1,1,135000.0,House / apartment,39,5,0,4,0,0,0,0,0,1,655.2083333333333,2,0
5008824,1,1,135000.0,House / apartment,39,4,0,4,0,0,0,0,0,0,713.4166666666667,3,0
5008825,1,0,130500.0,House / apartment,36,26,0,25,1,0,0,0,0,0,758.15,4,1
5008826,1,0,130500.0,House / apartment,36,30,18,5,7,0,0,0,0,0,613.775,2,0
5008827,1,1,180000.0,House / apartment,0,38,19,2,8,2,1,1,5,0,602.5,2,0
5008830,0,1,157500.0,House / apartment,48,32,16,13,2,0,0,0,0,1,779.875,4,1
5008831,0,1,157500.0,House / apartment,48,20,4,13,2,0,0,0,0,1,779.875,4,1
5008832,0,1,157500.0,House / apartment,48,35,19,13,2,0,0,0,0,1,779.875,4,1
5008834,0,1,112500.0,House / apartment,54,45,40,5,0,0,0,0,0,0,807.375,5,1
5008835,0,1,112500.0,House / apartment,54,17,0,3,0,0,0,0,0,14,701.9583333333334,3,0
5008836,1,1,270000.0,House / apartment,38,17,16,1,0,0,0,0,0,0,840.8333333333334,5,1
5008837,1,1,270000.0,House / apartment,38,17,16,1,0,0,0,0,0,0,840.8333333333334,5,1
5008838,0,1,405000.0,House / apartment,67,31,0,29,0,0,0,0,0,2,779.875,4,1
5008839,0,1,405000.0,House / apartment,67,14,4,10,0,0,0,0,0,0,791.3333333333334,4,1
5008840,0,1,405000.0,House / apartment,67,56,46,10,0,0,0,0,0,0,828.0,5,1
5008841,0,1,405000.0,House / apartment,67,5,0,4,0,0,0,0,0,1,641.4583333333333,2,0
5008842,0,1,405000.0,House / apartment,67,9,0,9,0,0,0,0,0,0,745.5,4,1
5008843,0,1,405000.0,House / apartment,67,30,20,10,0,0,0,0,0,0,828.0,5,1
5008844,1,1,112500.0,House / apartment,148,33,7,26,0,0,0,0,0,0,829.375,5,1
5008846,1,1,112500.0,House / apartment,148,12,0,12,0,0,0,0,0,0,774.375,4,1
5008847,1,1,112500.0,House / apartment,148,33,7,26,0,0,0,0,0,0,829.375,5,1
5008849,1,1,112500.0,House / apartment,148,12,6,5,0,0,0,0,0,1,726.25,3,0
5008850,1,1,112500.0,House / apartment,148,26,0,26,0,0,0,0,0,0,829.375,5,1
5008851,1,1,112500.0,House / apartment,148,12,0,12,0,0,0,0,0,0,774.375,4,1
5008852,1,1,112500.0,House / apartment,148,1,0,1,0,0,0,0,0,0,673.5416666666667,3,0
5008853,1,1,112500.0,House / apartment,148,16,5,11,0,0,0,0,0,0,811.0416666666666,5,1
5008854,1,1,135000.0,House / apartment,105,2,0,2,0,0,0,0,0,0,695.0833333333333,3,0
5008855,1,1,135000.0,House / apartment,105,29,22,6,0,0,0,0,0,1,793.625,4,1
5008856,1,1,135000.0,House / apartment,105,4,0,4,0,0,0,0,0,0,713.4166666666667,3,0
5008857,1,1,135000.0,House / apartment,105,28,0,0,0,0,0,0,0,28,745.5,4,1
5008858,1,1,135000.0,House / apartment,105,11,1,10,0,0,0,0,0,0,777.5833333333334,4,1
5008859,1,1,135000.0,House / apartment,105,5,0,5,0,0,0,0,0,0,722.5833333333333,3,0
5008860,1,1,135000.0,House / apartment,105,4,0,3,0,0,0,0,0,1,646.0416666666667,2,0
5008861,1,1,135000.0,House / apartment,105,4,0,3,0,0,0,0,0,1,646.0416666666667,2,0
5008862,1,1,135000.0,House / apartment,105,3,0,2,0,0,0,0,0,1,636.875,2,0
5008863,1,1,135000.0,House / apartment,105,2,0,2,0,0,0,0,0,0,695.0833333333333,3,0
5008864,1,1,135000.0,House / apartment,105,3,0,2,0,0,0,0,0,1,636.875,2,0
5008865,1,1,135000.0,House / apartment,105,2,0,2,0,0,0,0,0,0,695.0833333333333,3,0
5008866,1,1,135000.0,House / apartment,105,2,0,2,0,0,0,0,0,0,695.0833333333333,3,0
5008867,1,1,135000.0,House / apartment,105,4,0,2,0,0,0,0,0,2,617.1666666666667,2,0
5008868,0,1,211500.0,House / apartment,236,25,0,25,0,0,0,0,0,0,828.0,5,1
5008870,0,1,211500.0,House / apartment,236,12,0,12,0,0,0,0,0,0,773.0,4,1
5008872,1,1,360000.0,House / apartment,178,11,0,8,1,0,0,0,0,2,718.4583333333334,3,0
5008873,0,1,126000.0,House / apartment,59,22,16,6,0,0,0,0,0,0,814.8,5,1
5008874,0,1,126000.0,House / apartment,59,46,40,6,0,0,0,0,0,0,814.8,5,1
5008875,0,1,126000.0,House / apartment,59,40,31,9,0,0,0,0,0,0,814.8,5,1
5008876,0,1,126000.0,House / apartment,59,44,41,3,0,0,0,0,0,0,814.8,5,1
5008877,0,1,126000.0,House / apartment,59,8,2,6,0,0,0,0,0,0,723.1333333333333,3,0
5008878,0,1,126000.0,House / apartment,59,12,0,9,3,0,0,0,0,0,692.425,3,0
5008879,0,1,126000.0,House / apartment,59,22,16,6,0,0,0,0,0,0,814.8,5,1
5008880,0,1,126000.0,House / apartment,59,11,5,6,0,0,0,0,0,0,750.6333333333334,4,1
5008881,0,1,126000.0,House / apartment,59,20,14,6,0,0,0,0,0,0,814.8,5,1
5008882,0,1,126000.0,House / apartment,59,40,31,9,0,0,0,0,0,0,814.8,5,1
5008884,0,1,315000.0,House / apartment,0,41,23,4,0,0,0,0,0,14,580.5,2,0
5008888,0,1,247500.0,Rented apartment,44,6,0,4,0,0,0,0,0,2,650.625,2,0
5008889,0,1,247500.0,Rented apartment,44,5,0,3,0,0,0,0,0,2,641.4583333333333,2,0
5008890,0,1,247500.0,Rented apartment,44,6,0,4,0,0,0,0,0,2,650.625,2,0
5008891,0,1,297000.0,Rented apartment,107,8,7,1,0,0,0,0,0,0,736.3333333333333,3,0
5008892,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008893,0,1,297000.0,Rented apartment,107,37,37,0,0,0,0,0,0,0,828.0,5,1
5008894,0,1,297000.0,Rented apartment,107,37,37,0,0,0,0,0,0,0,828.0,5,1
5008895,0,1,297000.0,Rented apartment,107,35,35,0,0,0,0,0,0,0,828.0,5,1
5008896,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008897,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008898,0,1,297000.0,Rented apartment,107,21,21,0,0,0,0,0,0,0,828.0,5,1
5008899,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008900,0,1,297000.0,Rented apartment,107,21,21,0,0,0,0,0,0,0,828.0,5,1
5008901,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008902,0,1,297000.0,Rented apartment,107,21,9,10,1,0,0,0,0,1,779.875,4,1
5008903,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008904,0,1,297000.0,Rented apartment,107,21,9,10,1,0,0,0,0,1,779.875,4,1
5008905,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008906,0,1,297000.0,Rented apartment,107,21,9,10,1,0,0,0,0,1,779.875,4,1
5008907,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008908,0,1,297000.0,Rented apartment,107,21,9,10,1,0,0,0,0,1,779.875,4,1
5008909,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008910,0,1,297000.0,Rented apartment,107,21,9,10,1,0,0,0,0,1,779.875,4,1
5008911,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008912,0,1,297000.0,Rented apartment,107,21,9,10,1,0,0,0,0,1,779.875,4,1
5008913,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008914,0,1,297000.0,Rented apartment,107,19,7,10,1,0,0,0,0,1,779.875,4,1
5008915,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008916,0,1,297000.0,Rented apartment,107,18,6,10,1,0,0,0,0,1,779.875,4,1
5008917,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
5008918,0,1,297000.0,Rented apartment,107,17,5,10,1,0,0,0,0,1,770.7083333333334,4,1
5008919,0,1,297000.0,Rented apartment,107,16,15,1,0,0,0,0,0,0,809.6666666666666,5,1
